,geo,TIME_PERIOD,CPI,Immigrants,Life Satisfaction,Population,Housing Index,GDP,emigration,unemployment,total_population,total_deaths
0,Albania,2016,101.51,,,2876092.0,,10719.9,,,2876092.0,21388.0
1,Albania,2017,104.76,,,2873458.0,,11559.0,,,2873458.0,22232.0
2,Albania,2018,106.59,,5.5,2866376.0,,12828.1,,,2866376.0,21804.0
3,Albania,2019,108.39,,,2854191.0,,13754.2,,,2854191.0,21937.0
4,Albania,2020,110.74,,,2837848.0,,13310.4,,,2837848.0,27605.0
5,Albania,2021,113.26,,5.7,2811667.0,,15157.4,,,2811667.0,30507.0
6,Albania,2022,120.69,,,2777689.0,,17972.3,,,2777689.0,23998.0
7,Austria,1996,71.77,,,7959017.0,,186968.1,,,7959017.0,80790.0
8,Austria,1997,72.61,,,7968041.0,,187853.7,,,7968041.0,79432.0
9,Austria,1998,73.2,72723.0,,7976789.0,,195011.9,,,7976789.0,78339.0
10,Austria,1999,73.58,86710.0,,7992324.0,,203850.6,,,7992324.0,78200.0
11,Austria,2000,75.02,81675.0,,8011566.0,,213606.5,,,8011566.0,76780.0
12,Austria,2001,76.74,89928.0,,8042293.0,,220525.1,,,8042293.0,74767.0
13,Austria,2002,78.04,108125.0,,8081957.0,,226735.2,,,8081957.0,76131.0
14,Austria,2003,79.05,111869.0,,8121423.0,,231862.5,,,8121423.0,77209.0
15,Austria,2004,80.6,122547.0,,8171966.0,,242348.3,,,8171966.0,74292.0
16,Austria,2005,82.3,114465.0,,8227829.0,,254075.0,,,8227829.0,75189.0
17,Austria,2006,83.69,98535.0,,8268641.0,,267824.5,,,8268641.0,74295.0
18,Austria,2007,85.53,72862.0,,8295487.0,,283978.0,,,8295487.0,74625.0
19,Austria,2008,88.29,73772.0,,8321496.0,,293761.9,,,8321496.0,75083.0
20,Austria,2009,88.64,69295.0,,8343323.0,,288044.0,,,8343323.0,77381.0
21,Austria,2010,90.14,70978.0,,8363404.0,76.64,295896.6,51651.0,,8363404.0,77199.0
22,Austria,2010,90.14,70978.0,,8363404.0,77.52,295896.6,51651.0,,8363404.0,77199.0
23,Austria,2010,90.14,70978.0,,8363404.0,76.8,295896.6,51651.0,,8363404.0,77199.0
24,Austria,2011,93.35,82230.0,,8391643.0,81.46,310128.7,51197.0,3.3,8391643.0,76479.0
25,Austria,2011,93.35,82230.0,,8391643.0,82.19,310128.7,51197.0,3.3,8391643.0,76479.0
26,Austria,2011,93.35,82230.0,,8391643.0,81.6,310128.7,51197.0,3.3,8391643.0,76479.0
27,Austria,2012,95.75,91557.0,,8429991.0,87.6,318653.0,51812.0,3.5,8429991.0,79436.0
28,Austria,2012,95.75,91557.0,,8429991.0,87.39,318653.0,51812.0,3.5,8429991.0,79436.0
29,Austria,2012,95.75,91557.0,,8429991.0,87.57,318653.0,51812.0,3.5,8429991.0,79436.0
