,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
0,Austria,2011,93.35,82230.0,8391643.0,81.6,310128.7,51197.0,3.3,76479.0,127462.4,137512.5,0.00979903458714819,36956.851000453666,0.006100950671995937,0.009113709913541365,0.015189206690513407,0.016386838667946192
1,Austria,2012,95.75,91557.0,8429991.0,87.57,318653.0,51812.0,3.5,79436.0,129678.5,138942.4,0.010860865687756962,37799.92173182629,0.006146151282961037,0.009423023108802844,0.015382993884572356,0.016481915579743798
2,Austria,2013,97.77,101866.0,8479823.0,92.1,323910.2,54071.0,3.8,79526.0,131884.6,137999.8,0.012012750737839693,38197.75483521295,0.006376430262754305,0.009378261786832107,0.015552753872339082,0.01627390100005625
3,Austria,2014,99.2,116262.0,8546356.0,95.33,333146.1,53491.0,4.0,78252.0,134172.5,137001.2,0.013603692614723748,38981.06982671913,0.006258924856394936,0.00915618305626398,0.01569938111634947,0.016030364286252527
4,Austria,2015,100.0,166323.0,8642699.0,100.0,344269.2,56689.0,4.1,83073.0,137756.8,140699.2,0.019244335594702535,39833.52885481723,0.006559177867932228,0.009611927940565788,0.01593909495170432,0.016279544156287292
5,Austria,2016,100.97,129509.0,8736668.0,108.53,357608.0,64428.0,4.4,80669.0,137409.9,142511.9,0.014823614677815386,40931.85182268572,0.007374436112256984,0.009233382795363175,0.015727952578717654,0.016311928071434098
6,Austria,2017,103.22,111801.0,8797566.0,114.26,369361.9,66144.0,4.0,83270.0,148756.4,155576.3,0.012708174056324215,41984.55572825484,0.007518443169394808,0.009465117965582753,0.016908813187647583,0.01768401623812768
7,Austria,2018,105.41,105633.0,8840521.0,119.64,385274.1,67212.0,3.6,83975.0,156428.8,164007.6,0.011948730170993316,43580.474499183925,0.0076027193419935316,0.009498874557280051,0.01769452275493718,0.01855180254647888
8,Austria,2019,106.98,109167.0,8879920.0,126.6,397147.2,68280.0,3.3,83386.0,159588.5,165008.3,0.012293691835061578,44724.18670438472,0.007689258461787944,0.009390399913512735,0.017971839836394922,0.018582183172821374
9,Austria,2020,108.47,103565.0,8916864.0,136.31,380888.5,62581.0,4.1,91599.0,148288.0,150934.7,0.011614509316279805,42715.52195928973,0.0070182745862222414,0.010272557706386461,0.016630061869284986,0.01692688146864189
10,Austria,2021,111.46,118511.0,8955797.0,153.26,405241.4,67299.0,4.2,91962.0,171541.2,185732.3,0.013232881450975273,45249.06046887843,0.007514574079783184,0.01026843283741246,0.019154208162601275,0.02073877958600446
11,Belgium,2011,95.18,147377.0,11038264.0,95.61,375967.8,84148.0,4.3,104292.0,341718.2,335447.4,0.013351465411590083,34060.41022392651,0.007623300185608897,0.009448224829556531,0.0309576034782281,0.0303895069007228
12,Belgium,2012,97.68,129477.0,11106932.0,97.75,386174.7,93600.0,4.6,109076.0,347088.6,341787.5,0.011657314549148225,34768.8002411467,0.008427169627040123,0.00982053369913492,0.0312497276475628,0.03077244913356812
13,Belgium,2013,98.9,120078.0,11159407.0,98.9,392880.0,102657.0,5.1,109334.0,352955.7,340092.9,0.01076024917811493,35206.17179747992,0.009199144721578843,0.0097974740055632,0.0316285354589182,0.030475893566745977
14,Belgium,2014,99.38,123158.0,11209057.0,98.35,403003.3,94573.0,5.2,104755.0,355287.7,341426.8,0.010987364949611729,35953.36342744979,0.008437195028984152,0.009345567606623821,0.03169648436973779,0.03045990398657086
15,Belgium,2015,100.0,146626.0,11274196.0,100.0,416701.4,89794.0,5.2,110541.0,357771.8,338569.8,0.013005450676926319,36960.63116163672,0.007964559069223207,0.009804778983796272,0.0317336863755074,0.03003050505774425
16,Belgium,2016,101.77,123702.0,11331422.0,102.64,430085.3,92471.0,4.7,108097.0,359757.3,342831.4,0.010916723426239002,37955.1039578263,0.008160582140529228,0.009539579410245245,0.03174864549215447,0.030254931817030557
17,Belgium,2017,104.03,126703.0,11375158.0,106.37,445050.1,89690.0,4.3,109666.0,380590.4,362585.6,0.011138570558756195,39124.740069544525,0.0078847256451295,0.009640833120735553,0.03345803196755597,0.03187521439262646
18,Belgium,2018,106.44,137860.0,11427054.0,109.42,460050.8,88935.0,3.6,110693.0,396270.0,385355.1,0.012064351844316128,40259.7904936828,0.007782845867360039,0.009686923681291783,0.03467822940190884,0.03372304882780811
19,Belgium,2019,107.77,150006.0,11488980.0,113.78,478676.2,102936.0,3.3,108783.0,399155.1,383017.1,0.013056511544105743,41663.94231689846,0.008959542100343111,0.00946846456343383,0.03474243144300016,0.033337781073689746
20,Belgium,2020,108.23,118683.0,11538604.0,118.6,460747.7,76562.0,3.4,126896.0,369249.8,348398.6,0.010285733005483159,39930.97431890375,0.006635291409602063,0.010997517550649975,0.032001254224514504,0.030194172535949755
21,Belgium,2021,111.71,139743.0,11586195.0,127.06,507929.6,87272.0,3.8,112331.0,465012.8,446827.8,0.012061164169945354,43839.20691823329,0.007532412496078307,0.009695245073986758,0.04013507454345452,0.03856553424139676
22,Bulgaria,2012,102.33,14103.0,7305888.0,98.07,42255.3,16615.0,7.8,109281.0,20770.5,25459.5,0.00193036082677424,5783.732244458169,0.002274193089190527,0.014957935298214263,0.0028429808943142847,0.0034847919924313104
23,Bulgaria,2013,102.72,18570.0,7265115.0,95.92,42056.2,19678.0,8.3,104345.0,22271.8,25828.5,0.0025560503859883843,5788.786550522599,0.0027085600159116544,0.014362470518360686,0.003065581205528061,0.0035551398704631652
24,Bulgaria,2014,101.08,26615.0,7223938.0,97.29,43024.7,28727.0,7.4,108952.0,22043.6,26118.3,0.0036842785749268614,5955.851226851614,0.003976639888105352,0.015082078500673732,0.0030514658348396676,0.003615521063442128
25,Bulgaria,2015,100.0,25223.0,7177991.0,100.0,45797.8,29470.0,6.1,110117.0,22877.6,26346.8,0.003513935863112673,6380.308919306252,0.004105605593542817,0.015340921993354408,0.003187187055542421,0.003670497775770407
26,Bulgaria,2016,98.68,21241.0,7127822.0,107.02,48752.1,30570.0,5.1,107580.0,24021.8,26158.7,0.002980012688307873,6839.6910023847395,0.00428882763907404,0.015092969493345933,0.0033701458874814774,0.003669942936285446
27,Bulgaria,2017,99.85,25597.0,7075947.0,116.3,52501.8,31586.0,4.4,109791.0,27779.9,30213.2,0.00361746632641539,7419.755970472927,0.004463854802756437,0.015516085691427593,0.0039259621362342035,0.00426984543552969
28,Bulgaria,2018,102.48,29559.0,7025037.0,123.96,56199.8,33225.0,3.8,108526.0,28495.9,32083.5,0.004207664671374685,7999.929395389661,0.004729512456660371,0.015448459559714774,0.0040563345075620245,0.004567022209278043
29,Bulgaria,2019,104.99,37929.0,6975761.0,131.42,61530.8,39941.0,3.3,108083.0,29788.7,33650.3,0.0054372562362730035,8820.657703152388,0.0057256835490780145,0.015494080144087504,0.004270315453754794,0.004823889465249742
30,Bulgaria,2020,106.27,37364.0,6934015.0,137.41,61607.7,6649.0,3.8,124735.0,27966.9,30648.8,0.005388508677872776,8884.852426768617,0.0009588961085316371,0.017988856384071855,0.0040332909576919,0.004420065431066994
31,Bulgaria,2021,109.3,39461.0,6877743.0,149.33,71060.1,26755.0,3.3,148995.0,34822.3,39128.1,0.005737492662927358,10331.89230827613,0.0038900842907331665,0.021663356714550108,0.0050630417565762495,0.005689090156465573
32,Cyprus,2011,98.4,23037.0,850881.0,111.09,19858.1,4895.0,5.3,5504.0,1306.0,6233.9,0.027074291234614477,23338.281146247242,0.005752860858333891,0.006468589614763992,0.001534879730538113,0.00732640639525386
33,Cyprus,2012,101.45,17476.0,863945.0,107.7,19495.4,18105.0,8.0,5665.0,1354.1,5678.4,0.020228139522770548,22565.556835215208,0.020956195128162092,0.0065571303728825334,0.001567345143498718,0.0065726406194838785
34,Cyprus,2013,101.84,13149.0,861939.0,103.29,18040.3,25227.0,10.7,5141.0,1520.4,4754.0,0.01525513986488603,20929.903392235414,0.02926773240333713,0.005964459201869274,0.0017639299300762584,0.005515471512485222
35,Cyprus,2014,101.57,9212.0,852504.0,101.47,17482.8,24038.0,11.0,5424.0,2373.6,6015.1,0.010805814400870846,20507.58706117508,0.028196935146345355,0.006362433490048141,0.0027842684609104473,0.007055802670720607
36,Cyprus,2015,100.0,15183.0,847664.0,100.0,17944.2,17183.0,10.0,5859.0,2960.8,6338.4,0.017911578172483438,21169.00092489477,0.02027100360520206,0.00691193680514921,0.0034928934105966517,0.007477491081371864
37,Cyprus,2016,98.78,17391.0,851561.0,100.27,19013.8,14892.0,8.6,5471.0,2680.6,7077.1,0.020422494689164957,22328.171440448776,0.01748788401535533,0.006424671867311913,0.003147866095323764,0.008310737574877197
38,Cyprus,2017,99.45,21306.0,859519.0,102.52,20312.4,15105.0,7.4,5996.0,2904.4,8149.1,0.02478828274883976,23632.28736072152,0.017573782545819233,0.006975994713322218,0.0033790992403891014,0.00948100042000235
39,Cyprus,2018,100.23,23442.0,870068.0,104.32,21675.1,15340.0,5.7,5768.0,4251.7,9166.4,0.026942721718302476,24911.960904205185,0.017630805868047095,0.006629366900058387,0.004886629550793731,0.010535268507748819
40,Cyprus,2019,100.78,26170.0,881952.0,108.2,23177.9,17373.0,4.9,6239.0,3079.0,8151.3,0.029672816661224195,26280.228402452743,0.019698350930662894,0.007074081129131744,0.003491119698124161,0.00924233971916839
41,Cyprus,2020,99.67,25861.0,892006.0,107.98,22086.6,21368.0,5.2,6422.0,2696.9,7657.7,0.028991957453200986,24760.595780745865,0.023954995818413777,0.007199503142355544,0.0030234101564339255,0.008584807725508573
42,Cyprus,2021,101.92,24001.0,900356.0,104.33,24927.6,18410.0,5.2,7202.0,3316.5,8797.9,0.026657233361026083,27686.381831186773,0.020447467446210166,0.007999058150331646,0.00368354295412037,0.009771579241988725
43,Czechia,2011,94.6,27114.0,10496088.0,95.3,165202.2,55910.0,4.2,106848.0,117054.1,109285.3,0.0025832481587425714,15739.406910460353,0.0053267464983144195,0.010179792699908766,0.011152164501669575,0.010412003024364888
44,Czechia,2012,98.0,34337.0,10510785.0,93.9,162587.5,46106.0,4.4,108189.0,122230.0,110065.6,0.003266834969985591,15468.635311254107,0.004386542013750638,0.010293141758679299,0.011629007728728158,0.01047168218168291
45,Czechia,2013,99.3,30124.0,10514272.0,93.9,159461.5,25894.0,4.5,109160.0,122185.1,108620.9,0.0028650580848583714,15166.19505373268,0.002462747777497101,0.010382078759233164,0.011620880646800844,0.010330805594529036
46,Czechia,2014,99.8,29897.0,10525347.0,96.2,157821.3,28468.0,3.9,105665.0,131798.9,116202.6,0.002840476423247614,14994.403509927035,0.002704708927886178,0.010039098948471723,0.012522047966684614,0.011040263090613546
47,Czechia,2015,100.0,29602.0,10546059.0,100.0,169558.2,25684.0,3.3,111173.0,142364.1,127481.3,0.0028069253168411063,16077.873260523196,0.002435412128834098,0.010541663004161081,0.013499270201314065,0.01208805109093359
48,Czechia,2016,100.7,64083.0,10566332.0,107.2,177438.5,38864.0,2.6,107750.0,146979.0,129268.1,0.006064829308789464,16792.818927135737,0.0036780975649828153,0.010197483857217434,0.013910125103015881,0.012233961605597856
49,Czechia,2017,103.1,51847.0,10594438.0,119.7,194132.9,27316.0,1.9,111443.0,161213.9,144482.7,0.004893794272051052,18324.03946297104,0.0025783340277228486,0.010519010069245768,0.015216843026501264,0.013637599276148486
50,Czechia,2018,105.1,65910.0,10629928.0,130.0,210970.5,26742.0,1.5,112920.0,171260.2,156457.5,0.006200418290697736,19846.84186007657,0.0025157272937314343,0.01062283770877846,0.016111134525088035,0.014718585111771218
