,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
0,Austria,2022,112.127273,121978.181818,9058627.090909,149.725818,415433.401818,71370.0,4.090909,91018.272727,167549.194545,174483.305455,0.013532,46016.93868,0.007913,0.01006,0.018552,0.019309
1,Austria,2023,113.806364,123574.181818,9119643.0,156.268,425193.085455,73216.454545,4.131818,92375.454545,171489.702727,178474.065455,0.013634,46853.780317,0.008078,0.010149,0.018888,0.019644
2,Austria,2024,115.485455,125170.181818,9180658.909091,162.810182,434952.769091,75062.909091,4.172727,93732.636364,175430.210909,182464.825455,0.013735,47690.621954,0.008243,0.010237,0.019225,0.01998
3,Austria,2025,117.164545,126766.181818,9241674.818182,169.352364,444712.452727,76909.363636,4.213636,95089.818182,179370.719091,186455.585455,0.013837,48527.463591,0.008408,0.010326,0.019562,0.020315
4,Austria,2026,118.843636,128362.181818,9302690.727273,175.894545,454472.136364,78755.818182,4.254545,96447.0,183311.227273,190446.345455,0.013938,49364.305228,0.008573,0.010414,0.019898,0.020651
5,Austria,2027,120.522727,129958.181818,9363706.636364,182.436727,464231.82,80602.272727,4.295455,97804.181818,187251.735455,194437.105455,0.01404,50201.146865,0.008738,0.010503,0.020235,0.020986
6,Belgium,2022,112.077818,134014.945455,11648225.436364,123.341818,506547.898182,87708.454545,3.401818,116996.163636,426723.356364,405521.349091,0.011493,43594.446141,0.007524,0.010048,0.036689,0.034854
7,Belgium,2023,113.619727,134177.845455,11702698.327273,126.194545,518892.746364,87135.045455,3.249091,118094.554545,435346.076364,413012.18,0.01145,44500.745727,0.007436,0.010098,0.037289,0.035359
8,Belgium,2024,115.161636,134340.745455,11757171.218182,129.047273,531237.594545,86561.636364,3.096364,119192.945455,443968.796364,420503.010909,0.011407,45407.045312,0.007348,0.010148,0.037888,0.035863
9,Belgium,2025,116.703545,134503.645455,11811644.109091,131.9,543582.442727,85988.227273,2.943636,120291.336364,452591.516364,427993.841818,0.011364,46313.344897,0.007259,0.010197,0.038487,0.036368
10,Belgium,2026,118.245455,134666.545455,11866117.0,134.752727,555927.290909,85414.818182,2.790909,121389.727273,461214.236364,435484.672727,0.01132,47219.644483,0.007171,0.010247,0.039087,0.036873
11,Belgium,2027,119.787364,134829.445455,11920589.890909,137.605455,568272.139091,84841.409091,2.638182,122488.118182,469836.956364,442975.503636,0.011277,48125.944068,0.007082,0.010297,0.039686,0.037378
12,Bulgaria,2022,106.628,42023.333333,6834838.133333,149.124667,69931.626667,28601.866667,1.993333,130482.133333,33606.246667,36753.04,0.006091,10166.174458,0.004148,0.019046,0.004887,0.005351
13,Bulgaria,2023,107.329455,44651.90303,6786822.212121,155.20697,73104.898788,29016.460606,1.386667,133471.521212,34973.946061,38060.216364,0.006489,10665.379673,0.004228,0.019583,0.005105,0.005564
14,Bulgaria,2024,108.030909,47280.472727,6738806.290909,161.289273,76278.170909,29431.054545,0.78,136460.909091,36341.645455,39367.392727,0.006886,11164.584888,0.004307,0.020119,0.005324,0.005778
15,Bulgaria,2025,108.732364,49909.042424,6690790.369697,167.371576,79451.44303,29845.648485,0.173333,139450.29697,37709.344848,40674.569091,0.007283,11663.790103,0.004386,0.020656,0.005542,0.005991
16,Bulgaria,2026,109.433818,52537.612121,6642774.448485,173.453879,82624.715152,30260.242424,-0.433333,142439.684848,39077.044242,41981.745455,0.007681,12162.995318,0.004466,0.021192,0.00576,0.006205
17,Bulgaria,2027,110.135273,55166.181818,6594758.527273,179.536182,85797.987273,30674.836364,-1.04,145429.072727,40444.743636,43288.921818,0.008078,12662.200533,0.004545,0.021729,0.005978,0.006418
18,Cyprus,2022,100.593818,25766.509091,892034.509091,104.121091,23740.085455,19499.145455,5.147273,6733.927273,3883.961818,9222.249091,0.028907,26619.650554,0.021909,0.007551,0.004387,0.010375
19,Cyprus,2023,100.630818,26784.745455,896276.7,104.032636,24302.611818,19840.881818,4.762727,6876.081818,4100.319091,9577.18,0.029956,27145.502085,0.022208,0.007679,0.004622,0.010742
20,Cyprus,2024,100.667818,27802.981818,900518.890909,103.944182,24865.138182,20182.618182,4.378182,7018.236364,4316.676364,9932.110909,0.031004,27671.353615,0.022508,0.007808,0.004857,0.01111
