,geo,TIME_PERIOD,CPI,Immigrants,Life Satisfaction,OBS_VALUE,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports
0,Albania,2016,101.51,,,2876092.0,,10719.9,,,21388.0,,
1,Albania,2017,104.76,,,2873458.0,,11559.0,,,22232.0,,
2,Albania,2018,106.59,,5.5,2866376.0,,12828.1,,,21804.0,,
3,Albania,2019,108.39,,,2854191.0,,13754.2,,,21937.0,,
4,Albania,2020,110.74,,,2837848.0,,13310.4,,,27605.0,,
5,Albania,2021,113.26,,5.7,2811667.0,,15157.4,,,30507.0,,
6,Albania,2022,120.69,,,2777689.0,,17972.3,,,23998.0,,
7,Austria,1996,71.77,,,7959017.0,,186968.1,,,80790.0,,
8,Austria,1997,72.61,,,7968041.0,,187853.7,,,79432.0,,
9,Austria,1998,73.2,72723.0,,7976789.0,,195011.9,,,78339.0,,
10,Austria,1999,73.58,86710.0,,7992324.0,,203850.6,,,78200.0,,
11,Austria,2000,75.02,81675.0,,8011566.0,,213606.5,,,76780.0,,
12,Austria,2001,76.74,89928.0,,8042293.0,,220525.1,,,74767.0,,
13,Austria,2002,78.04,108125.0,,8081957.0,,226735.2,,,76131.0,,
14,Austria,2003,79.05,111869.0,,8121423.0,,231862.5,,,77209.0,,
15,Austria,2004,80.6,122547.0,,8171966.0,,242348.3,,,74292.0,,
16,Austria,2005,82.3,114465.0,,8227829.0,,254075.0,,,75189.0,,
17,Austria,2006,83.69,98535.0,,8268641.0,,267824.5,,,74295.0,,
18,Austria,2007,85.53,72862.0,,8295487.0,,283978.0,,,74625.0,,
19,Austria,2008,88.29,73772.0,,8321496.0,,293761.9,,,75083.0,,
20,Austria,2009,88.64,69295.0,,8343323.0,,288044.0,,,77381.0,,
21,Austria,2010,90.14,70978.0,,8363404.0,76.8,295896.6,51651.0,,77199.0,,
22,Austria,2011,93.35,82230.0,,8391643.0,81.6,310128.7,51197.0,3.3,76479.0,127462.4,137512.5
23,Austria,2012,95.75,91557.0,,8429991.0,87.57,318653.0,51812.0,3.5,79436.0,129678.5,138942.4
24,Austria,2013,97.77,101866.0,7.8,8479823.0,92.1,323910.2,54071.0,3.8,79526.0,131884.6,137999.8
25,Austria,2014,99.2,116262.0,,8546356.0,95.33,333146.1,53491.0,4.0,78252.0,134172.5,137001.2
26,Austria,2015,100.0,166323.0,,8642699.0,100.0,344269.2,56689.0,4.1,83073.0,137756.8,140699.2
27,Austria,2016,100.97,129509.0,,8736668.0,108.53,357608.0,64428.0,4.4,80669.0,137409.9,142511.9
28,Austria,2017,103.22,111801.0,,8797566.0,114.26,369361.9,66144.0,4.0,83270.0,148756.4,155576.3
29,Austria,2018,105.41,105633.0,8.0,8840521.0,119.64,385274.1,67212.0,3.6,83975.0,156428.8,164007.6
30,Austria,2019,106.98,109167.0,,8879920.0,126.6,397147.2,68280.0,3.3,83386.0,159588.5,165008.3
31,Austria,2020,108.47,103565.0,,8916864.0,136.31,380888.5,62581.0,4.1,91599.0,148288.0,150934.7
32,Austria,2021,111.46,118511.0,8.0,8955797.0,153.26,405241.4,67299.0,4.2,91962.0,171541.2,185732.3
33,Austria,2022,121.07,,7.9,9041851.0,170.77,447217.6,,3.3,93332.0,201398.4,221991.8
34,Belgium,1996,70.48,,,10156637.0,,219965.3,,,104275.0,,
35,Belgium,1997,71.54,,,10181245.0,,223032.7,,,103851.0,,
36,Belgium,1998,72.18,83812.0,,10203008.0,,231015.7,,,104583.0,,
37,Belgium,1999,73.0,91624.0,,10226419.0,,242307.6,,,104904.0,,
38,Belgium,2000,74.96,89388.0,,10251250.0,,256376.4,,,104903.0,,
39,Belgium,2001,76.78,110410.0,,10286570.0,,264334.9,,,103447.0,,
40,Belgium,2002,77.97,113857.0,,10332785.0,,273255.9,,,105642.0,,
41,Belgium,2003,79.16,112060.0,,10376133.0,,281200.2,,,107039.0,,
42,Belgium,2004,80.63,117236.0,,10421137.0,,296819.7,,,101256.0,,
43,Belgium,2005,82.67,132810.0,,10478617.0,72.49,310037.6,,,103278.0,,
44,Belgium,2006,84.6,137699.0,,10547958.0,79.56,325151.5,,,101587.0,,
45,Belgium,2007,86.13,146409.0,,10625700.0,85.76,343618.9,,,100658.0,,
46,Belgium,2008,90.0,,,10709973.0,89.54,351743.1,,,104587.0,,
47,Belgium,2009,89.99,,,10796493.0,89.12,346472.8,,,103854.0,,
48,Belgium,2010,92.09,135281.0,,10895586.0,91.92,363140.1,66013.0,,105152.0,,
49,Belgium,2011,95.18,147377.0,,11038264.0,95.61,375967.8,84148.0,4.3,104292.0,341718.2,335447.4
50,Belgium,2012,97.68,129477.0,,11106932.0,97.75,386174.7,93600.0,4.6,109076.0,347088.6,341787.5
