,geo,TIME_PERIOD,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports
22,Austria,2011,93.35,82230.0,8391643.0,81.6,310128.7,51197.0,3.3,76479.0,127462.4,137512.5
23,Austria,2012,95.75,91557.0,8429991.0,87.57,318653.0,51812.0,3.5,79436.0,129678.5,138942.4
24,Austria,2013,97.77,101866.0,8479823.0,92.1,323910.2,54071.0,3.8,79526.0,131884.6,137999.8
25,Austria,2014,99.2,116262.0,8546356.0,95.33,333146.1,53491.0,4.0,78252.0,134172.5,137001.2
26,Austria,2015,100.0,166323.0,8642699.0,100.0,344269.2,56689.0,4.1,83073.0,137756.8,140699.2
27,Austria,2016,100.97,129509.0,8736668.0,108.53,357608.0,64428.0,4.4,80669.0,137409.9,142511.9
28,Austria,2017,103.22,111801.0,8797566.0,114.26,369361.9,66144.0,4.0,83270.0,148756.4,155576.3
29,Austria,2018,105.41,105633.0,8840521.0,119.64,385274.1,67212.0,3.6,83975.0,156428.8,164007.6
30,Austria,2019,106.98,109167.0,8879920.0,126.6,397147.2,68280.0,3.3,83386.0,159588.5,165008.3
31,Austria,2020,108.47,103565.0,8916864.0,136.31,380888.5,62581.0,4.1,91599.0,148288.0,150934.7
32,Austria,2021,111.46,118511.0,8955797.0,153.26,405241.4,67299.0,4.2,91962.0,171541.2,185732.3
49,Belgium,2011,95.18,147377.0,11038264.0,95.61,375967.8,84148.0,4.3,104292.0,341718.2,335447.4
50,Belgium,2012,97.68,129477.0,11106932.0,97.75,386174.7,93600.0,4.6,109076.0,347088.6,341787.5
51,Belgium,2013,98.9,120078.0,11159407.0,98.9,392880.0,102657.0,5.1,109334.0,352955.7,340092.9
52,Belgium,2014,99.38,123158.0,11209057.0,98.35,403003.3,94573.0,5.2,104755.0,355287.7,341426.8
53,Belgium,2015,100.0,146626.0,11274196.0,100.0,416701.4,89794.0,5.2,110541.0,357771.8,338569.8
54,Belgium,2016,101.77,123702.0,11331422.0,102.64,430085.3,92471.0,4.7,108097.0,359757.3,342831.4
